"Code Fap";"Libellé de la famille professionnelle";"Année";"Salaire médian (en €)"
"N";"Études et recherche";"2003-2005";"2726"
"N0Z";"Personnels d'études et de recherche";"2017-2019";"3100"
"N0Z";"Personnels d'études et de recherche";"2003-2005";"2726"
"N0Z90";"Ingénieurs et cadres d'étude, recherche et développement (industrie)";"2017-2019";"3250"
"N0Z90";"Ingénieurs et cadres d'étude, recherche et développement (industrie)";"2003-2005";"2804"
"N0Z91";"Chercheurs (sauf industrie et enseignement supérieur)";"2017-2019";"2600"
"N0Z91";"Chercheurs (sauf industrie et enseignement supérieur)";"2003-2005";"2538"
"P";"Administration publique, professions juridiques, armée et police";"2003-2005";"1611"
"P";"Administration publique, professions juridiques, armée et police";"2017-2019";"2000"
"P0Z";"Employés administratifs de la fonction publique (catégorie C et assimilés)";"2017-2019";"1600"
"P0Z";"Employés administratifs de la fonction publique (catégorie C et assimilés)";"2003-2005";"1329"
"P0Z60";"Agents des impôts et des douanes";"2017-2019";"1800"
"P0Z60";"Agents des impôts et des douanes";"2003-2005";"1551"
"P0Z61";"Employés des services au public";"2003-2005";"1318"
"P0Z61";"Employés des services au public";"2017-2019";"1600"
"P0Z62";"Employés de la Poste et des télécommunications";"2017-2019";"1554"
"P0Z62";"Employés de la Poste et des télécommunications";"2003-2005";"1302"
"P1Z";"Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)";"2003-2005";"1718"
"P1Z";"Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)";"2017-2019";"2000"
"P1Z80";"Contrôleurs des impôts et des douanes";"2003-2005";"2000"
"P1Z80";"Contrôleurs des impôts et des douanes";"2017-2019";"2281"
"P1Z81";"Autres cadres B de la fonction publique";"2003-2005";"1690"
"P1Z81";"Autres cadres B de la fonction publique";"2017-2019";"1999"
"P1Z82";"Professions intermédiaires de la Poste et des télécommunications";"2003-2005";"1686"
"P1Z82";"Professions intermédiaires de la Poste et des télécommunications";"2017-2019";"1983"
"P2Z";"Cadres de la fonction publique (catégorie A et assimilés)";"2017-2019";"3000"
"P2Z";"Cadres de la fonction publique (catégorie A et assimilés)";"2003-2005";"2600"
"P2Z90";"Cadres A de la fonction publique (hors spécialités juridiques) et assimilés";"2017-2019";"3000"
"P2Z90";"Cadres A de la fonction publique (hors spécialités juridiques) et assimilés";"2003-2005";"2595"
"P2Z91";"Cadres de la Poste et des télécommunications";"2003-2005";"2397"
"P2Z91";"Cadres de la Poste et des télécommunications";"2017-2019";"3000"
"P2Z92";"Cadres de l'armée et de la gendarmerie";"2003-2005";"2961"
"P2Z92";"Cadres de l'armée et de la gendarmerie";"2017-2019";"3692"
"P3Z";"Professionnels du droit (hors juristes en entreprise)";"2003-2005";"3800"
"P3Z";"Professionnels du droit (hors juristes en entreprise)";"2017-2019";"4173"
"P4Z";"Armée, police, pompiers";"2003-2005";"1800"
"P4Z";"Armée, police, pompiers";"2017-2019";"2150"
"P4Z60";"Agents de sécurité et de l'ordre public";"2017-2019";"2100"
"P4Z60";"Agents de sécurité et de l'ordre public";"2003-2005";"1700"
"P4Z61";"Agents de polices municipales";"2017-2019";"2000"
"P4Z61";"Agents de polices municipales";"2003-2005";"1517"
"P4Z80";"Cadres intermédiaires de la police et de l'armée";"2003-2005";"2287"
"P4Z80";"Cadres intermédiaires de la police et de l'armée";"2017-2019";"2542"
"Q";"Banque et assurances";"2017-2019";"2333"
"Q";"Banque et assurances";"2003-2005";"1800"
"Q0Z";"Employés de la banque et des assurances";"2003-2005";"1533"
"Q0Z";"Employés de la banque et des assurances";"2017-2019";"1850"
"Q0Z60";"Employés de la banque et des assurances";"2003-2005";"1533"
"Q0Z60";"Employés de la banque et des assurances";"2017-2019";"1850"
"Q1Z";"Techniciens de la banque et des assurances";"2017-2019";"2080"
"Q1Z";"Techniciens de la banque et des assurances";"2003-2005";"1715"
"Q1Z80";"Techniciens de la banque";"2017-2019";"2127"
"Q1Z80";"Techniciens de la banque";"2003-2005";"1773"
"Q1Z81";"Techniciens des assurances";"2017-2019";"2000"
"Q1Z81";"Techniciens des assurances";"2003-2005";"1667"
"Q2Z";"Cadres de la banque et des assurances";"2017-2019";"3333"
"Q2Z";"Cadres de la banque et des assurances";"2003-2005";"2708"
"Q2Z90";"Cadres de la banque";"2003-2005";"2845"
"Q2Z90";"Cadres de la banque";"2017-2019";"3466"
"Q2Z91";"Cadres des assurances";"2003-2005";"2478"
"Q2Z91";"Cadres des assurances";"2017-2019";"3050"
"R";"Commerce";"2003-2005";"1486"
"R";"Commerce";"2017-2019";"1860"
"R0Z";"Caissiers, employés de libre service";"2003-2005";"1053"
"R0Z";"Caissiers, employés de libre service";"2017-2019";"1330"
"R0Z60";"Employés de libre service";"2017-2019";"1359"
"R0Z60";"Employés de libre service";"2003-2005";"1074"
"R0Z61";"Caissiers";"2017-2019";"1300"
"R0Z61";"Caissiers";"2003-2005";"1036"
"R1Z";"Vendeurs";"2003-2005";"1120"
"R1Z";"Vendeurs";"2017-2019";"1360"
"R1Z60";"Vendeurs en produits alimentaires";"2017-2019";"1334"
"R1Z60";"Vendeurs en produits alimentaires";"2003-2005";"1069"
"R1Z61";"Vendeurs en ameublement, équipement du foyer, bricolage";"2003-2005";"1182"
"R1Z61";"Vendeurs en ameublement, équipement du foyer, bricolage";"2017-2019";"1488"
"R1Z62";"Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels";"2003-2005";"1100"
"R1Z62";"Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels";"2017-2019";"1311"
"R1Z63";"Vendeurs en gros de matériel et équipements";"2017-2019";"1672"
"R1Z63";"Vendeurs en gros de matériel et équipements";"2003-2005";"1349"
"R1Z66";"Vendeurs généralistes";"2017-2019";"1325"
"R1Z66";"Vendeurs généralistes";"2003-2005";"1100"
"R1Z67";"Télévendeurs";"2003-2005";"1100"
"R1Z67";"Télévendeurs";"2017-2019";"1300"
"R2Z";"Attachés commerciaux et représentants";"2003-2005";"1662"
"R2Z";"Attachés commerciaux et représentants";"2017-2019";"2000"
"R2Z80";"Attachés commerciaux";"2003-2005";"1668"
"R2Z80";"Attachés commerciaux";"2017-2019";"2045"
"R2Z83";"Représentants auprès des particuliers";"2017-2019";"1852"
"R2Z83";"Représentants auprès des particuliers";"2003-2005";"1600"
"R3Z";"Maîtrise des magasins et intermédiaires du commerce";"2017-2019";"1883"
"R3Z";"Maîtrise des magasins et intermédiaires du commerce";"2003-2005";"1462"
"R3Z80";"Maîtrise des magasins";"2017-2019";"1811"
"R3Z80";"Maîtrise des magasins";"2003-2005";"1423"
"R3Z82";"Professions intermédiaires commerciales";"2003-2005";"1547"
"R3Z82";"Professions intermédiaires commerciales";"2017-2019";"2004"
"R4Z";"Cadres commerciaux et technico-commerciaux";"2017-2019";"3300"
"R4Z";"Cadres commerciaux et technico-commerciaux";"2003-2005";"2800"
"R4Z90";"Cadres commerciaux, acheteurs et cadres de la mercatique";"2003-2005";"2900"
"R4Z90";"Cadres commerciaux, acheteurs et cadres de la mercatique";"2017-2019";"3450"
"R4Z91";"Ingénieurs et cadres technico-commerciaux";"2017-2019";"3408"
"R4Z91";"Ingénieurs et cadres technico-commerciaux";"2003-2005";"2808"
"R4Z92";"Cadres des magasins";"2017-2019";"2751"
"R4Z92";"Cadres des magasins";"2003-2005";"2250"
"R4Z93";"Agents immobiliers, syndics";"2017-2019";"3033"
"R4Z93";"Agents immobiliers, syndics";"2003-2005";"2084"
"S";"Hôtellerie, restauration, alimentation";"2017-2019";"1500"
"S";"Hôtellerie, restauration, alimentation";"2003-2005";"1200"
"S0Z";"Bouchers, charcutiers, boulangers";"2017-2019";"1570"
"S0Z";"Bouchers, charcutiers, boulangers";"2003-2005";"1243"
"S0Z40";"Bouchers";"2003-2005";"1238"
"S0Z40";"Bouchers";"2017-2019";"1590"
"S0Z41";"Charcutiers, traiteurs";"2003-2005";"1200"
"S0Z41";"Charcutiers, traiteurs";"2017-2019";"1441"
"S0Z42";"Boulangers, pâtissiers";"2017-2019";"1558"
"S0Z42";"Boulangers, pâtissiers";"2003-2005";"1300"
"S1Z";"Cuisiniers";"2003-2005";"1200"
"S1Z";"Cuisiniers";"2017-2019";"1500"
"S1Z20";"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration";"2017-2019";"1270"
"S1Z20";"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration";"2003-2005";"1000"
"S1Z40";"Cuisiniers";"2003-2005";"1220"
"S1Z40";"Cuisiniers";"2017-2019";"1500"
"S1Z80";"Chefs cuisiniers";"2003-2005";"1517"
"S1Z80";"Chefs cuisiniers";"2017-2019";"1803"
"S2Z";"Employés et agents de maîtrise de l'hôtellerie et de la restauration";"2017-2019";"1400"
"S2Z";"Employés et agents de maîtrise de l'hôtellerie et de la restauration";"2003-2005";"1123"
"S2Z60";"Employés de l'hôtellerie";"2017-2019";"1380"
"S2Z60";"Employés de l'hôtellerie";"2003-2005";"1087"
"S2Z61";"Serveurs de cafés restaurants";"2017-2019";"1350"
"S2Z61";"Serveurs de cafés restaurants";"2003-2005";"1088"
"S2Z80";"Maîtres d'hôtel";"2003-2005";"1406"
"S2Z80";"Maîtres d'hôtel";"2017-2019";"1700"
"S2Z81";"Maîtrise de l'hôtellerie";"2003-2005";"1521"
"S2Z81";"Maîtrise de l'hôtellerie";"2017-2019";"1766"
"S3Z";"Patrons et cadres d'hôtels, cafés, restaurants";"2017-2019";"2500"
"S3Z";"Patrons et cadres d'hôtels, cafés, restaurants";"2003-2005";"2157"
"S3Z90";"Cadres de l'hôtellerie et de la restauration";"2017-2019";"2500"
"S3Z90";"Cadres de l'hôtellerie et de la restauration";"2003-2005";"2157"
"T";"Services aux particuliers et aux collectivités";"2003-2005";"1098"
"T";"Services aux particuliers et aux collectivités";"2017-2019";"1400"
"T0Z";"Coiffeurs, esthéticiens";"2003-2005";"1050"
"T0Z";"Coiffeurs, esthéticiens";"2017-2019";"1298"
"T0Z60";"Coiffeurs, esthéticiens";"2017-2019";"1298"
"T0Z60";"Coiffeurs, esthéticiens";"2003-2005";"1050"
"T1Z";"Employés de maison";"2017-2019";"1400"
"T1Z";"Employés de maison";"2003-2005";"991"
"T1Z60";"Employés de maison et personnels de ménage";"2017-2019";"1400"
"T1Z60";"Employés de maison et personnels de ménage";"2003-2005";"991"
"T2A";"Aides à domicile et aides ménagères";"2003-2005";"1000"
"T2A";"Aides à domicile et aides ménagères";"2017-2019";"1290"
"T2A60";"Aides à domicile et aides ménagères";"2017-2019";"1290"
"T2A60";"Aides à domicile et aides ménagères";"2003-2005";"1000"
"T2B";"Assistantes maternelles";"2017-2019";"1324"
"T2B";"Assistantes maternelles";"2003-2005";"844"
"T2B60";"Assistantes maternelles";"2003-2005";"844"
"T2B60";"Assistantes maternelles";"2017-2019";"1324"
"T3Z";"Agents de gardiennage et de sécurité";"2017-2019";"1460"
"T3Z";"Agents de gardiennage et de sécurité";"2003-2005";"1143"
"T3Z60";"Concierges";"2003-2005";"1017"
"T3Z60";"Concierges";"2017-2019";"1408"
"T3Z61";"Agents de sécurité et de surveillance";"2017-2019";"1490"
"T3Z61";"Agents de sécurité et de surveillance";"2003-2005";"1188"
"T4Z";"Agents d'entretien";"2003-2005";"1157"
"T4Z";"Agents d'entretien";"2017-2019";"1428"
"T4Z60";"Agents d'entretien de locaux";"2017-2019";"1441"
"T4Z60";"Agents d'entretien de locaux";"2003-2005";"1128"
"T4Z61";"Agents de services hospitaliers";"2003-2005";"1200"
"T4Z61";"Agents de services hospitaliers";"2017-2019";"1400"
"T4Z62";"Ouvriers de l'assainissement et du traitement des déchets";"2003-2005";"1242"
"T4Z62";"Ouvriers de l'assainissement et du traitement des déchets";"2017-2019";"1600"
"T6Z";"Employés des services divers";"2017-2019";"1600"
"T6Z";"Employés des services divers";"2003-2005";"1215"
"T6Z61";"Employés des services divers";"2017-2019";"1600"
"T6Z61";"Employés des services divers";"2003-2005";"1215"
"U";"Communication, information, art et spectacle";"2017-2019";"2274"
"U";"Communication, information, art et spectacle";"2003-2005";"1887"
"U0Z";"Professionnels de la communication et de l'information";"2017-2019";"2614"
"U0Z";"Professionnels de la communication et de l'information";"2003-2005";"2230"
"U0Z80";"Assistants de communication";"2017-2019";"1800"
"U0Z80";"Assistants de communication";"2003-2005";"1441"
"U0Z90";"Cadres de la communication";"2003-2005";"2683"
"U0Z90";"Cadres de la communication";"2017-2019";"3099"
"U0Z91";"Cadres et techniciens de la documentation";"2003-2005";"1850"
"U0Z91";"Cadres et techniciens de la documentation";"2017-2019";"2400"
"U0Z92";"Journalistes et cadres de l'édition";"2017-2019";"3007"
"U0Z92";"Journalistes et cadres de l'édition";"2003-2005";"2383"
"U1Z";"Professionnels des arts et des spectacles";"2017-2019";"2000"
"U1Z";"Professionnels des arts et des spectacles";"2003-2005";"1651"
"U1Z80";"Professionnels des spectacles";"2017-2019";"2200"
"U1Z80";"Professionnels des spectacles";"2003-2005";"1817"
"U1Z82";"Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle";"2017-2019";"1937"
"U1Z82";"Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle";"2003-2005";"1586"
"U1Z91";"Artistes (musique, danse, spectacles)";"2003-2005";"1527"
"U1Z91";"Artistes (musique, danse, spectacles)";"2017-2019";"1841"
"V";"Santé, action sociale, culturelle et sportive";"2003-2005";"1550"
"V";"Santé, action sociale, culturelle et sportive";"2017-2019";"1775"
"V0Z";"Aides-soignants";"2017-2019";"1549"
"V0Z";"Aides-soignants";"2003-2005";"1362"
"V0Z60";"Aides-soignants";"2003-2005";"1362"
"V0Z60";"Aides-soignants";"2017-2019";"1549"
"V1Z";"Infirmiers, sages-femmes";"2017-2019";"2028"
"V1Z";"Infirmiers, sages-femmes";"2003-2005";"1842"
"V1Z80";"Infirmiers";"2017-2019";"2025"
"V1Z80";"Infirmiers";"2003-2005";"1829"
"V1Z81";"Sages-femmes";"2017-2019";"2309"
"V1Z81";"Sages-femmes";"2003-2005";"2137"
"V2Z";"Médecins et assimilés";"2017-2019";"3390"
"V2Z";"Médecins et assimilés";"2003-2005";"2956"
"V2Z90";"Médecins";"2003-2005";"3500"
"V2Z90";"Médecins";"2017-2019";"3800"
"V2Z93";"Pharmaciens";"2003-2005";"2322"
"V2Z93";"Pharmaciens";"2017-2019";"2841"
"V3Z";"Professions para-médicales";"2003-2005";"1531"
"V3Z";"Professions para-médicales";"2017-2019";"1868"
"V3Z70";"Techniciens médicaux et préparateurs";"2017-2019";"1808"
"V3Z70";"Techniciens médicaux et préparateurs";"2003-2005";"1486"
"V3Z71";"Spécialistes de l'appareillage médical";"2017-2019";"1824"
"V3Z71";"Spécialistes de l'appareillage médical";"2003-2005";"1511"
"V3Z80";"Autres professionnels para-médicaux";"2003-2005";"1732"
"V3Z80";"Autres professionnels para-médicaux";"2017-2019";"1854"
"V3Z90";"Psychologues, psychothérapeutes";"2003-2005";"2252"
"V3Z90";"Psychologues, psychothérapeutes";"2017-2019";"2280"
"V4Z";"Professionnels de l'action sociale et de l'orientation";"2003-2005";"1604"
"V4Z";"Professionnels de l'action sociale et de l'orientation";"2017-2019";"1800"
"V4Z80";"Professionnels de l'orientation";"2017-2019";"2398"
"V4Z80";"Professionnels de l'orientation";"2003-2005";"1980"
"V4Z83";"Educateurs spécialisés";"2017-2019";"1770"
"V4Z83";"Educateurs spécialisés";"2003-2005";"1543"
"V4Z85";"Professionnels de l'action sociale";"2017-2019";"1840"
"V4Z85";"Professionnels de l'action sociale";"2003-2005";"1703"
"V5Z";"Professionnels de l'action culturelle, sportive et surveillants";"2017-2019";"1471"
"V5Z";"Professionnels de l'action culturelle, sportive et surveillants";"2003-2005";"1136"
"V5Z81";"Professionnels de l'animation socioculturelle";"2003-2005";"1193"
"V5Z81";"Professionnels de l'animation socioculturelle";"2017-2019";"1450"
"V5Z82";"Sportifs et animateurs sportifs";"2003-2005";"1292"
"V5Z82";"Sportifs et animateurs sportifs";"2017-2019";"1603"
"V5Z84";"Surveillants d'établissements scolaires";"2017-2019";"1320"
"V5Z84";"Surveillants d'établissements scolaires";"2003-2005";"1000"
"W";"Enseignement, formation";"2017-2019";"2292"
"W";"Enseignement, formation";"2003-2005";"1906"
"W0Z";"Enseignants";"2003-2005";"1951"
"W0Z";"Enseignants";"2017-2019";"2300"
"W0Z80";"Professeurs des écoles";"2017-2019";"2148"
"W0Z80";"Professeurs des écoles";"2003-2005";"1752"
"W0Z90";"Professeurs du secondaire";"2003-2005";"2000"
"W0Z90";"Professeurs du secondaire";"2017-2019";"2320"
"W0Z91";"Directeurs d'établissement scolaire et inspecteurs";"2003-2005";"2953"
"W0Z91";"Directeurs d'établissement scolaire et inspecteurs";"2017-2019";"3533"
"W0Z92";"Professeurs du supérieur";"2017-2019";"3000"
"W0Z92";"Professeurs du supérieur";"2003-2005";"2500"
"W1Z";"Formateurs";"2003-2005";"1547"
"W1Z";"Formateurs";"2017-2019";"1780"
"W1Z80";"Formateurs";"2017-2019";"1780"
"W1Z80";"Formateurs";"2003-2005";"1547"
"X";"Politique, religion";"2017-2019";"1340"
"X";"Politique, religion";"2003-2005";"1243"
"X0Z";"Professionnels de la politique et clergé";"2003-2005";"1243"
"X0Z";"Professionnels de la politique et clergé";"2017-2019";"1340"
"X0Z01";"Clergé";"2003-2005";"1100"
"X0Z01";"Clergé";"2017-2019";"1152"
"Z";"Non renseigné ou autre";"2003-2005";nd
"Z";"Non renseigné ou autre";"2017-2019";"1879"
"ZZZ";"Non renseigné ou autre";"2003-2005";nd
"ZZZ";"Non renseigné ou autre";"2017-2019";"1879"
"ZZZZZ";"Non renseigné ou autre";"2003-2005";nd
"ZZZZZ";"Non renseigné ou autre";"2017-2019";"1879"
